﻿id,question_text,option_1,option_2,option_3,option_4,correct_option,explanation
1,"テストマネージャーとして、テストプロジェクトの様々なフェーズでチェックリストを確立する必要があります。「テスト完了チェック（test completion check）」の最も正確な説明はどれですか？","テスト完了チェックは、すべてのテストウェアが計画通りに完了したことを確認する。","テスト完了チェックは、すべての重要な教訓（lessons learned）が文書化されたことを確認する。","テスト完了チェックは、すべてのテストウェアが構成管理システムに保存されたことを確認する。","テスト完了チェックは、良い実践が繰り返し可能であることを確認するためのテスト計画が策定されたことを確認する。","option_1","正解はa)。シラバスセクション1.1.3によると、この活動はすべてのテスト活動が完了したことを確認するものです。これはテスト終了プロセスの一部であり、教訓やテストウェアのアーカイブなどの他の活動も含まれます。"
2,"テストマネージャーとして、異なるテストレベルで異なる活動を行う必要があります。次のうち、システムテストレベルでのテスト管理活動ではないものはどれですか？","テスト範囲の定義","ツールとテスト技法の選択","統合およびテストが必要な部分の決定","テストプロセス全体を通じた欠陥の管理","option_3","正解はc)。統合およびテストが必要な部分を決定するのは、システムテストレベルではなく、コンポーネント統合テストレベルでのテスト管理活動です（シラバス1.2.5参照）。"
3,"テストマネージャーとして、テスト管理活動をテストタイプと調整する必要があります。次のうち、ホワイトボックステストのテスト管理活動ではあるが、機能テストや非機能テストの管理活動ではないものはどれですか？","範囲の定義","テストツールとテスト環境の決定","ステートメントのカバレッジ（網羅率）の測定","テストケースの優先順位に基づくテスト実行のモニタリング","option_3","正解はc)。ステートメントカバレッジの測定はホワイトボックステストの活動ですが、機能テストや非機能テストではテスト対象システムの内部コード構造を理解する必要がないため、これには該当しません。"
4,"アジャイルチームが新しいWebベースのアプリケーションを開発しています。次の要因のうち、品質リスクのレベルに影響を与える可能性が最も低いものはどれですか？","ユーザー受け入れテスト（UAT）チームが他のいくつかの優先度の高いプロジェクトに割り当てられている。","強力なドメイン知識を持つが、テスト自動化の経験がほとんどない新しいビジネスアナリストがアジャイルチームに参加した。","開発チームの大部分がインドにあり、プロダクトオーナーがアメリカにいる。","開発者にとって馴染みのない新しい欠陥管理プロセスが社内に導入された。","option_2","正解はb)。ビジネスアナリストには通常、テスト自動化の知識は必要ありません。他の選択肢（リソース不足、分散チーム、不慣れなプロセス）は品質に悪影響を与えるリスク要因です。"
5,"テストマネージャーとして、テスト工数を効果的に割り当てるために、リスクベースドテスト・アプローチを使用することにしました。リスクベースドテストを使用する際、最も問題となるのは次のうちどれですか？","プロジェクトに10人の異なるステークホルダーがおり、全員がリスク分析に貢献したいと考えている。","テストチームはリスクベースのテスト計画から始めるが、プロジェクトの圧力によりリスクコントロールを疎かにする。","プロジェクトのリスク項目とリスクレベルが他のプロジェクトで再利用されない。","ステークホルダーが残留リスクのレベルを理解しており、すべてのテストが実行される前に稼働開始（Go Live）を決定する可能性がある。","option_2","正解はb)。リスクコントロール活動の実装を怠ることは、リスクベースドテストにおける主要な困難（「熱心な始まりだが尻すぼみ」）です。"
6,"あなたはテストマネージャーとして既存のプロジェクトに参加しました。製品の品質が悪いという評判があり、改善策を探すよう求められました。シナリオで議論されている問題に対処するための、分析クリティカルなテストプロセス改善アプローチに従うアクションの組み合わせとして正しいものはどれですか？ (a) 欠陥の発生源とタイプに関する欠陥分類スキームを実装し、報告された欠陥を分類する。 (b) テストチームの実践をTMMiモデルと比較する。 (c) 前回のリリースでの欠陥検出率（DDP）を計算する。 (d) GQMベースの測定プログラムを開始し、見積もりの正確性を評価する。 (e) テスト実行工数を削減するために新しいテスト自動化ツールを導入する。","a と c","a と b","b と d","c と e","option_1","正解は「aとc」の組み合わせです。a)は欠陥の根本原因分析の一環であり、c)はテストプロセス（有効性）を定量化・評価するためのメトリクス使用であり、どちらも分析的アプローチです。bはモデルベース、eはツール導入です。"
7,"あなたの会社は新しいテスト管理ツールの導入を決定しました。テストツールの選択において、妥当な考慮事項は次のうちどれですか？","開発部門長のベンダーの好み。","最も適切なツールを評価・特定するための、すべてのステークホルダーからの要件。","テストツールは会社の企業デザイン基準（コーポレートデザイン）に一致している必要がある。","効率的であるためには、ツールは現在のツールよりも安価でなければならない。","option_2","正解はb)。ステークホルダーの要件は、ツール選択における妥当な考慮事項です。個人の好み、デザイン、安価であること（必須要件ではない）は主な決定要因ではありません。"
8,"あなたは銀行システムのレポートエンジンのテスト管理を担当しています。プロジェクトは1ヶ月前に始まりました。現在まだメトリクスを設定していない場合、プロジェクトマネジメントの進捗報告のニーズを満たすために何をする必要がありますか？","メトリクスにトレーサビリティが含まれていることを確認する。","テストチームとプロジェクトマネジメントの情報ニーズを収集する。","すべての可能なメトリクスを有効にし、プロジェクトマネジメントが自由に情報を選択できるようにする。","欠陥管理から始める。","option_2","正解はb)。シラバスによると、メトリクスは常にテストチームとステークホルダーのニーズに焦点を当てるべきです。"
9,"あなたはアジャイルソフトウェア開発プロジェクトでテスト工数を見積もる必要があります。このコンテキストにおけるテスト見積もりについて、正しい記述はどれですか？","テスト見積もりは開発見積もりとは別に行われ、テストレベルと活動に基づいている。","テスト見積もりは開発見積もりの一部として行われ、ユーザーストーリーと受け入れ基準に基づいている。","アジャイルプロジェクトではテスト見積もりは全く行われず、テストはアドホックベースで実行される。","テスト見積もりは顧客またはプロダクトオーナーによって行われ、機能のビジネス価値とリスクに基づいている。","option_2","正解はb)。アジャイルプロジェクトでは、テスト見積もりは開発見積もり（ユーザーストーリー単位など）の一部として行われます。"
10,"テストマネージャーとして、テストプロジェクトの時間、工数、品質をコントロールする必要があります。次のうち、テスト活動の「期間」には影響する可能性が高いが、「工数」には影響しない可能性が最も高いものはどれですか？","テスト中に発見された欠陥の修正にかかる時間","テストプロセスの成熟度","テスト条件に求められる詳細レベル","システムに求められる品質","option_1","正解はa)。欠陥の修正時間は、修正待ち時間が発生するため期間には影響しますが、テスターがその間待機しているだけなら直接的な工数（作業時間）の増加には必ずしもつながりません。"
11,"テストマネージャーとして、テストプロジェクトの工数を見積もるために多くの異なる要因を考慮する必要があります。テストプロジェクトのテスト見積もりにおいて考慮すべきでない（または考慮できない）ものは次のうちどれですか？","開発チームメンバーの資格（スキル）","開発者の人的スキルと経験","他の進行中のプロジェクトでの見積もり工数（または将来のプロジェクト）","テスト工数見積もりから決定された時間数","option_3","正解はc)。他の進行中のプロジェクトの見積もりや将来のプロジェクトは、本プロジェクトの過去の実績データではないため、見積もりの根拠として使用すべきではありません。"
12,"テストチームのパフォーマンスの重要な要素はモチベーションです。次のうち、テストチームにとっての「動機付け要因（モチベーター）」の最良の例はどれですか？","全従業員に対する労働賃金協定の導入","細部まで計画されたテスト活動と成果物","良好に稼働するテスト環境","行われた仕事に対する承認と感謝","option_4","正解はd)。ハーズバーグの理論などにおいて、承認や感謝は動機付け要因です。給与や作業環境は衛生要因（不満を防止するが、満足度を上げるわけではない）とされます。"
